iter	Logloss
0	0.6648781873
1	0.6413658855
2	0.6198738087
3	0.6005274337
4	0.5845582314
5	0.57086436
6	0.5576557744
7	0.5462505225
8	0.533876958
9	0.5243253081
10	0.5151095312
11	0.5061543366
12	0.4991392625
13	0.4907181922
14	0.4842048172
15	0.4776187595
16	0.4722345489
17	0.4672842916
18	0.4628090569
19	0.4586069363
20	0.4546686142
21	0.4512202079
22	0.4475293578
23	0.4437481593
24	0.4404054573
25	0.4374437717
26	0.4336514036
27	0.4302099456
28	0.4273932821
29	0.4245489952
30	0.4203685175
31	0.4181884448
32	0.4153118254
33	0.4123653524
34	0.4104102187
35	0.4047361535
36	0.4028952797
37	0.4012985748
38	0.3995676127
39	0.3951364567
40	0.3920933811
41	0.3894766249
42	0.3876765979
43	0.3849623867
44	0.3826479734
45	0.3813845942
46	0.3792109612
47	0.3759842292
48	0.3750470425
49	0.3729170945
50	0.3709342077
51	0.3640921664
52	0.3631699825
53	0.3600326446
54	0.3560867049
55	0.3547365897
56	0.3520401477
57	0.3485430489
58	0.3436565934
59	0.3390825442
60	0.3343559399
61	0.3329748676
62	0.331722409
63	0.3306399361
64	0.3296572612
65	0.3282229668
66	0.3271627032
67	0.3259829135
68	0.3245427023
69	0.323556767
70	0.3227569526
71	0.3202808384
72	0.3186364495
73	0.317650316
74	0.3162125242
75	0.3143059043
76	0.3128582389
77	0.3117775166
78	0.3108582789
79	0.3100553228
80	0.3075921507
81	0.3066791586
82	0.3060431003
83	0.3046762632
84	0.3034270804
85	0.302927804
86	0.301076682
87	0.3001905004
88	0.2992774085
89	0.2988060572
90	0.2979070148
91	0.297185801
92	0.2958539223
93	0.2947709617
94	0.2941500686
95	0.2935379052
96	0.2930683229
97	0.2920865401
98	0.2913540712
99	0.2899822999
100	0.2888841258
101	0.2884994191
102	0.2873630876
103	0.2869294381
104	0.2866394548
105	0.2851651639
106	0.2842001589
107	0.2831924387
108	0.2826958622
109	0.2813654001
110	0.280743328
111	0.2802433645
112	0.2796268942
113	0.2791700632
114	0.2784247719
115	0.2781250884
116	0.2770749684
117	0.2766987697
118	0.2760511776
119	0.27546049
120	0.2743281743
121	0.2739877603
122	0.2736128623
123	0.2725246694
124	0.2718032447
125	0.2710723979
126	0.2701790886
127	0.2696902818
128	0.2692578804
129	0.268727764
130	0.2684268872
131	0.2676825179
132	0.2664657612
133	0.2658292018
134	0.2649107679
135	0.2639594698
136	0.2633220011
137	0.2625476476
138	0.2618487854
139	0.2615800188
140	0.2610739852
141	0.2601747042
142	0.2585804845
143	0.258068817
144	0.257492423
145	0.2569543574
146	0.2550443199
147	0.2545417104
148	0.2532494082
149	0.2521806374
150	0.2512116873
151	0.2503152866
152	0.2492023591
153	0.2490066674
154	0.2485605887
155	0.2481332924
156	0.2477044271
157	0.247092866
158	0.2467324883
159	0.2462235785
160	0.2457797115
161	0.2453885923
162	0.2448194807
163	0.2442763464
164	0.2440385082
165	0.2431344359
166	0.242769954
167	0.2425438595
168	0.2423495917
169	0.2421353133
170	0.2418164069
171	0.241674272
172	0.2411537344
173	0.2409265158
174	0.2406499131
175	0.2404441815
176	0.2397516083
177	0.2394385962
178	0.238898048
